city,lat,lng,datetime,temperature_celsius,weather
Altdorf,46.8667,8.6333,2024-06-19T06:00:00,20.450000000000045,scattered clouds
Altdorf,46.8667,8.6333,2024-06-19T09:00:00,24.77000000000004,few clouds
Altdorf,46.8667,8.6333,2024-06-19T12:00:00,26.930000000000007,scattered clouds
Altdorf,46.8667,8.6333,2024-06-19T15:00:00,26.980000000000018,overcast clouds
Altdorf,46.8667,8.6333,2024-06-19T18:00:00,24.370000000000005,overcast clouds
Altdorf,46.8667,8.6333,2024-06-19T21:00:00,20.920000000000016,scattered clouds
Altdorf,46.8667,8.6333,2024-06-20T00:00:00,20.25,few clouds
Altdorf,46.8667,8.6333,2024-06-20T03:00:00,20.07000000000005,clear sky
Altdorf,46.8667,8.6333,2024-06-20T06:00:00,23.55000000000001,clear sky
Altdorf,46.8667,8.6333,2024-06-20T09:00:00,27.640000000000043,scattered clouds
Altdorf,46.8667,8.6333,2024-06-20T12:00:00,30.680000000000007,scattered clouds
Goldach,47.4833,9.4667,2024-06-15T15:00:00,16.77000000000004,light rain
Goldach,47.4833,9.4667,2024-06-15T18:00:00,15.79000000000002,light rain
Goldach,47.4833,9.4667,2024-06-15T21:00:00,15.200000000000045,light rain
Goldach,47.4833,9.4667,2024-06-16T00:00:00,14.270000000000039,light rain
Goldach,47.4833,9.4667,2024-06-16T03:00:00,13.850000000000023,overcast clouds
Goldach,47.4833,9.4667,2024-06-16T06:00:00,14.360000000000014,overcast clouds
Goldach,47.4833,9.4667,2024-06-16T09:00:00,17.150000000000034,overcast clouds
Goldach,47.4833,9.4667,2024-06-16T12:00:00,18.52000000000004,overcast clouds
Goldach,47.4833,9.4667,2024-06-16T15:00:00,19.939999999999998,broken clouds
Goldach,47.4833,9.4667,2024-06-16T18:00:00,19.900000000000034,light rain
Goldach,47.4833,9.4667,2024-06-16T21:00:00,17.08000000000004,overcast clouds
Goldach,47.4833,9.4667,2024-06-17T00:00:00,16.400000000000034,light rain
Goldach,47.4833,9.4667,2024-06-17T03:00:00,15.850000000000023,overcast clouds
Goldach,47.4833,9.4667,2024-06-17T06:00:00,16.970000000000027,overcast clouds
Goldach,47.4833,9.4667,2024-06-17T09:00:00,20.100000000000023,broken clouds
Goldach,47.4833,9.4667,2024-06-17T12:00:00,21.860000000000014,light rain
Goldach,47.4833,9.4667,2024-06-17T15:00:00,21.890000000000043,light rain
Goldach,47.4833,9.4667,2024-06-17T18:00:00,19.180000000000007,light rain
Goldach,47.4833,9.4667,2024-06-17T21:00:00,17.0,light rain
Goldach,47.4833,9.4667,2024-06-18T00:00:00,15.910000000000025,scattered clouds
Goldach,47.4833,9.4667,2024-06-18T03:00:00,15.04000000000002,broken clouds
Goldach,47.4833,9.4667,2024-06-18T06:00:00,17.460000000000036,overcast clouds
