id,flightType,SDT,STA,ETA,ATA,RTK,TER,FBR,LBR,BDC,FLC,airlineLogo,FLN,REG,statusCode,statusTextDe,statusTextEn,airportName,cityDe,cityEn,search,POR,ICT,TYP,TYS,model,manufacturerName,isSchengen,isCommercial,airline,codeShare,viaAirportName,viaCityDe,viaCityEn,STD,ETD,ATD,CAM,CAA,GAT,PDS,EBT,CIR
1649084,D,2024-06-16T00:00:00Z,,,,,,,,,LY,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/elalisrael.jpg?vs=1&rev=57437738f72f4e4ba55016e5afe389d0,348,,90.0,,,Ben Gurion Airport,Tel Aviv,Tel Aviv,LY348 LY 348 EL AL  TLV Ben Gurion Airport Tel Aviv Tel Aviv       SK_3188_SAS LY0348 LY 0348 SK3188 SK 3188,,B738,73H,73H,B737-800 (Winglets),Boeing,,True,EL AL,SK_3188_SAS,,,,2024-06-16T10:30:00Z,,,2,,,TLV,,3
1649085,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2174,,,,,Airport,Alicante,Alicante,LX2174 LX 2174 SWISS  ALC Airport Alicante Alicante       ,,BCS1,220,221,A220-100,Airbus,True,True,SWISS,,,,,2024-06-16T04:25:00Z,,,1,3,,ALC,,
1649086,D,2024-06-16T00:00:00Z,,,,,,,,,SK,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/sas.svg?vs=1&rev=c5a1ac02c0d54e969e619aefd78e5cb2,602,,90.0,,,Kastrup,Kopenhagen,Copenhagen,"SK602 SK 602 SCANDINAVIAN  CPH Kastrup Kopenhagen Copenhagen       LX_4704_SWR, FI_7592_ICE SK0602 SK 0602 LX4704 LX 4704 FI7592 FI 7592",,CRJ9,CR9,CR9,CL-600 Regional Jet CRJ-900,Mitsubishi,True,True,SCANDINAVIAN,"LX_4704_SWR, FI_7592_ICE",,,,2024-06-16T08:25:00Z,,,2,,,CPH,,2
1649087,D,2024-06-16T00:00:00Z,,,,,,,,,OU,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/croatia.svg?vs=1&rev=ab07c92bd36c412bb3841fed1ff84c92,461,,90.0,,,Franjo Tudman Airport,Zagreb,Zagreb,"OU461 OU 461 CROATIA AIRLINES  ZAG Franjo Tudman Airport Zagreb Zagreb       AC_2982_ACA, SK_9319_SAS, SQ_2413_SIA, LX_4250_SWR, UA_7278_UAL OU0461 OU 0461 AC2982 AC 2982 SK9319 SK 9319 SQ2413 SQ 2413 LX4250 LX 4250 UA7278 UA 7278",,DH8D,DH8,DH4,DHC-8-400 Dash 8,De Havilland Canada,True,True,CROATIA AIRLINES,"AC_2982_ACA, SK_9319_SAS, SQ_2413_SIA, LX_4250_SWR, UA_7278_UAL",,,,2024-06-16T09:45:00Z,,,1,3,,ZAG,,
1649088,D,2024-06-16T00:00:00Z,,,,,,,,,VY,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/vueling.svg?vs=1&rev=5b698c8e11174af5b5b4feecc217f700,6249,,90.0,,,El Prat,Barcelona,Barcelona,"VY6249 VY 6249 VUELING  BCN El Prat Barcelona Barcelona       QR_3778_QTR, IB_5581_IBE QR3778 QR 3778 IB5581 IB 5581",,A321,321,321,A321,Airbus,True,True,VUELING,"QR_3778_QTR, IB_5581_IBE",,,,2024-06-16T19:15:00Z,,,3,,,BCN,,
1649089,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,2150,,,,,International Airport,Palma De Mallorca,Palma De Mallorca,LX2150 LX 2150 SWISS  PMI International Airport Palma De Mallorca Palma De Mallorca       ,,A321,321,321,A321,Airbus,True,True,SWISS,,,,,2024-06-16T13:35:00Z,,,1,3,,PMI,,
1649090,D,2024-06-16T00:00:00Z,,,,,,,,,AY,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/finnair.svg?vs=1&rev=ece3586421fd4ff585159f02f31d1766,1514,,90.0,,,Vantaa Airport,Helsinki,Helsinki,"AY1514 AY 1514 FINNAIR  HEL Vantaa Airport Helsinki Helsinki       TP_8352_TAP, JL_9350_JAL TP8352 TP 8352 JL9350 JL 9350",,A321,321,321,A321,Airbus,True,True,FINNAIR,"TP_8352_TAP, JL_9350_JAL",,,,2024-06-16T17:05:00Z,,,2,,,HEL,,3
1649091,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1954,,,,,El Prat,Barcelona,Barcelona,"LX1954 LX 1954 SWISS  BCN El Prat Barcelona Barcelona       UA_9766_UAL, AC_6812_ACA UA9766 UA 9766 AC6812 AC 6812",,A320,320,320,A320,Airbus,True,True,SWISS,"UA_9766_UAL, AC_6812_ACA",,,,2024-06-16T10:20:00Z,,,1,3,,BCN,,
1649092,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,1736,,,,,Fiumicino International Airport Leonardo da Vinci,Rom,Rome,"LX1736 LX 1736 SWISS  FCO Fiumicino International Airport Leonardo da Vinci Rom Rome       UA_9798_UAL, AC_6844_ACA UA9798 UA 9798 AC6844 AC 6844",,BCS1,220,221,A220-100,Airbus,True,True,SWISS,"UA_9798_UAL, AC_6844_ACA",,,,2024-06-16T10:45:00Z,,,1,3,,FCO,,
1649093,D,2024-06-16T00:00:00Z,,,,,,,,,LX,https://media.flughafen-zuerich.ch/-/jssmedia/airport/portal/logos/airline/swiss.svg?vs=1&rev=769ad8a5427540b99c5fafcb5ba21f5c,072,,,,,Dulles,Washington,Washington,LX072 LX 072 SWISS  IAD Dulles Washington Washington       UA_9754_UAL LX72 LX0072 LX 0072 UA9754 UA 9754,,A333,330,333,A330-300,Airbus,,True,SWISS,UA_9754_UAL,,,,2024-06-16T10:55:00Z,,,1,3,,IAD,,
